YEAR,WEEK,REGION,INFREL
1980,1,AR Crimea,22
1980,2,AR Crimea,19
1980,3,AR Crimea,29
1980,4,AR Crimea,48
1980,5,AR Crimea,88
1980,6,AR Crimea,107
1980,7,AR Crimea,104
1980,8,AR Crimea,87
1980,9,AR Crimea,51
1980,10,AR Crimea,34
1980,11,AR Crimea,25
1980,12,AR Crimea,29
1980,13,AR Crimea,38
1980,14,AR Crimea,35
1980,15,AR Crimea,27
1980,16,AR Crimea,28
1980,17,AR Crimea,22
1980,18,AR Crimea,15
1980,19,AR Crimea,7
1980,20,AR Crimea,5
1980,21,AR Crimea,10
1980,22,AR Crimea,5
1980,23,AR Crimea,0
1980,24,AR Crimea,2
1980,25,AR Crimea,0
1980,26,AR Crimea,2
1980,27,AR Crimea,0
1980,28,AR Crimea,5
1980,29,AR Crimea,3
1980,30,AR Crimea,0
1980,31,AR Crimea,3
1980,32,AR Crimea,2
1980,33,AR Crimea,2
1980,34,AR Crimea,8
1980,35,AR Crimea,9
1980,36,AR Crimea,5
1980,37,AR Crimea,15
1980,38,AR Crimea,26
1980,39,AR Crimea,25
1980,40,AR Crimea,37
1980,41,AR Crimea,41
1980,42,AR Crimea,30
1980,43,AR Crimea,42
1980,44,AR Crimea,44
1980,45,AR Crimea,42
1980,46,AR Crimea,36
1980,47,AR Crimea,27
1980,48,AR Crimea,27
1980,49,AR Crimea,16
1980,50,AR Crimea,15
1980,51,AR Crimea,14
1980,52,AR Crimea,10
1980,1,Cherkasy,13
1980,2,Cherkasy,5
1980,3,Cherkasy,16
1980,4,Cherkasy,26
1980,5,Cherkasy,38
1980,6,Cherkasy,50
1980,7,Cherkasy,48
1980,8,Cherkasy,43
1980,9,Cherkasy,21
1980,10,Cherkasy,18
1980,11,Cherkasy,11
1980,12,Cherkasy,11
1980,13,Cherkasy,19
1980,14,Cherkasy,11
1980,15,Cherkasy,14
1980,16,Cherkasy,14
1980,17,Cherkasy,10
1980,18,Cherkasy,11
1980,19,Cherkasy,7
1980,20,Cherkasy,7
1980,21,Cherkasy,0
1980,22,Cherkasy,5
1980,23,Cherkasy,0
1980,24,Cherkasy,4
1980,25,Cherkasy,0
1980,26,Cherkasy,0
1980,27,Cherkasy,0
1980,28,Cherkasy,0
1980,29,Cherkasy,0
1980,30,Cherkasy,0
1980,31,Cherkasy,2
1980,32,Cherkasy,0
1980,33,Cherkasy,0
1980,34,Cherkasy,5
1980,35,Cherkasy,6
1980,36,Cherkasy,6
1980,37,Cherkasy,7
1980,38,Cherkasy,12
1980,39,Cherkasy,16
1980,40,Cherkasy,21
1980,41,Cherkasy,21
1980,42,Cherkasy,20
1980,43,Cherkasy,23
1980,44,Cherkasy,23
1980,45,Cherkasy,19
1980,46,Cherkasy,20
1980,47,Cherkasy,12
1980,48,Cherkasy,14
1980,49,Cherkasy,6
1980,50,Cherkasy,11
1980,51,Cherkasy,3
1980,52,Cherkasy,3
1980,1,Chernihiv,13
1980,2,Chernihiv,8
1980,3,Chernihiv,17
1980,4,Chernihiv,24
1980,5,Chernihiv,38
1980,6,Chernihiv,52
1980,7,Chernihiv,52
1980,8,Chernihiv,41
1980,9,Chernihiv,23
1980,10,Chernihiv,9
1980,11,Chernihiv,12
1980,12,Chernihiv,18
1980,13,Chernihiv,15
1980,14,Chernihiv,16
1980,15,Chernihiv,16
1980,16,Chernihiv,12
1980,17,Chernihiv,9
1980,18,Chernihiv,2
1980,19,Chernihiv,6
1980,20,Chernihiv,4
1980,21,Chernihiv,0
1980,22,Chernihiv,6
1980,23,Chernihiv,0
1980,24,Chernihiv,1
1980,25,Chernihiv,0
1980,26,Chernihiv,0
1980,27,Chernihiv,0
1980,28,Chernihiv,4
1980,29,Chernihiv,2
1980,30,Chernihiv,3
1980,31,Chernihiv,2
1980,32,Chernihiv,0
1980,33,Chernihiv,4
1980,34,Chernihiv,6
1980,35,Chernihiv,3
1980,36,Chernihiv,7
1980,37,Chernihiv,8
1980,38,Chernihiv,8
1980,39,Chernihiv,16
1980,40,Chernihiv,20
1980,41,Chernihiv,16
1980,42,Chernihiv,15
1980,43,Chernihiv,20
1980,44,Chernihiv,20
1980,45,Chernihiv,21
1980,46,Chernihiv,19
1980,47,Chernihiv,19
1980,48,Chernihiv,12
1980,49,Chernihiv,13
1980,50,Chernihiv,10
1980,51,Chernihiv,1
1980,52,Chernihiv,8
1980,1,Chernivtsi,5
1980,2,Chernivtsi,2
1980,3,Chernivtsi,8
1980,4,Chernivtsi,16
1980,5,Chernivtsi,22
1980,6,Chernivtsi,32
1980,7,Chernivtsi,30
1980,8,Chernivtsi,23
1980,9,Chernivtsi,16
1980,10,Chernivtsi,8
1980,11,Chernivtsi,3
1980,12,Chernivtsi,11
1980,13,Chernivtsi,7
1980,14,Chernivtsi,10
1980,15,Chernivtsi,5
1980,16,Chernivtsi,2
1980,17,Chernivtsi,1
1980,18,Chernivtsi,2
1980,19,Chernivtsi,0
1980,20,Chernivtsi,0
1980,21,Chernivtsi,0
1980,22,Chernivtsi,0
1980,23,Chernivtsi,5
1980,24,Chernivtsi,0
1980,25,Chernivtsi,1
1980,26,Chernivtsi,1
1980,27,Chernivtsi,0
1980,28,Chernivtsi,0
1980,29,Chernivtsi,0
